"id","station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","WindkmhDir","WindkmhGust","WindkmhInt"
1,8548,2014-01-11,9.5,15.4,8,"N",NA,3.6
2,8570,2014-01-24,8.6,14.3,4.3,"N",39.6,10.8
3,8558,2014-02-16,7.8,12.8,2.9,NA,NA,NA
4,8567,2014-02-23,7.4,13.5,4.2,"WSW",25.2,4.2
5,8554,2014-03-02,15,18.2,13.6,"W",54,30.9
6,8558,2014-03-06,11.4,17.4,5.7,NA,NA,NA
7,8570,2014-03-06,13.8,20.4,8.7,"N",32.4,10.8
8,8567,2014-03-07,12,19.4,6.6,"WSW",NA,2.3
9,8570,2014-03-07,15,21.5,8.8,"NNE",NA,5.5
10,8554,2014-03-07,17.4,21.6,11.9,"E",32.4,14.9
11,8551,2014-03-07,9.7,17.4,4.8,"WNW",25.2,5.7
12,8570,2014-03-08,13.9,20.1,8.8,"E",32.4,9.9
13,8570,2014-03-08,13.9,20.1,8.8,"E",32.4,9.9
14,8548,2014-03-08,15,22.4,7.6,"W",21.6,5.3
15,8558,2014-03-08,14.5,22,7.8,NA,NA,NA
16,8548,2014-03-08,15,22.4,7.6,"W",21.6,5.3
17,8570,2014-03-08,13.9,20.1,8.8,"E",32.4,9.9
18,8570,2014-03-08,13.9,20.1,8.8,"E",32.4,9.9
19,8558,2014-03-08,14.5,22,7.8,NA,NA,NA
20,8570,2014-03-08,13.9,20.1,8.8,"E",32.4,9.9
21,8554,2014-03-08,15.9,19.7,12.3,"E",54,25.1
22,8570,2014-03-08,13.9,20.1,8.8,"E",32.4,9.9
23,8537,2014-03-08,NA,NA,NA,"ENE",NA,8.4
24,8558,2014-03-08,14.5,22,7.8,NA,NA,NA
25,8567,2014-03-08,14.1,21.9,8.3,"WNW",NA,1.8
26,8567,2014-03-08,14.1,21.9,8.3,"WNW",NA,1.8
27,8551,2014-03-08,11.4,18.2,6.3,"WSW",21.6,5.4
28,8570,2014-03-08,13.9,20.1,8.8,"E",32.4,9.9
29,8548,2014-03-08,15,22.4,7.6,"W",21.6,5.3
30,8548,2014-03-09,18.3,23.2,13.7,"S",32.4,8.1
31,8570,2014-03-09,14,20.3,8.2,"E",36,11.4
33,8567,2014-03-09,13.9,21.2,8.4,"W",25.2,4.1
34,8548,2014-03-09,18.3,23.2,13.7,"S",32.4,8.1
35,8570,2014-03-09,14,20.3,8.2,"E",36,11.4
37,8567,2014-03-10,13.3,17.9,8.4,"N",21.6,3.9
38,8548,2014-03-10,16.1,19.3,10.4,"E",28.8,5.9
