"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","firstInterv_date","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause","horasLat","minLat","segLat","horasLon","minLon","segLon","diff_in_days","temp","tempMax","windVelocity","windGust"
1,"Beira Litoral","Coimbra","Góis","Góis","40.1538888888889","-8.15611111111111","agriculture",2014-01-11,23:30:00,2014-01-12,"2014-01-11",0,0,1,0,0.02,0,40,9,14,8,8,22,1,9.5,15.4,3.6,NA
2,"Beira Interior","Guarda","Sabugal","Bismula","40.1630555555556","-6.16527777777778","agric_burn",2014-01-24,19:10:00,2014-01-24,"2014-01-24",0,1,0,1,1,0,40,26,47,6,57,55,0,8.6,14.3,10.8,39.6
3,"Ribatejo e Oeste","Santarém","Almeirim","Benfica do Ribatejo","39.1544444444444","-8.15527777777778","agriculture",2014-02-16,18:46:00,2014-02-16,"2014-02-16",0,0,1,0,0.0742,0,39,7,16,8,39,19,0,7.8,12.8,NA,NA
4,"Trás-os-Montes","Bragança","Vila Flor","União das freguesias de Vila Flor e Nabo","41.1663888888889","-7.15583333333333","firepit",2014-02-23,18:00:00,2014-02-23,"2014-02-23",0,1,0,1,0.006,0,41,23,59,7,4,21,0,7.4,13.5,4.2,25.2
5,"Algarve","Faro","São Brás de Alportel","São Brás de Alportel","37.1552777777778","-7.15916666666667","firepit",2014-03-02,12:48:00,2014-03-02,"2014-03-02",0,1,0,1,0.03,0,37,9,19,7,50,33,0,15,18.2,30.9,54
6,"Ribatejo e Oeste","Santarém","Alpiarça","Alpiarça","39.1583333333333","-8.16027777777778","firepit",2014-03-06,19:40:00,2014-03-06,"2014-03-06",0,1,0,1,0.0192,0,39,11,30,8,34,37,0,11.4,17.4,NA,NA
7,"Beira Interior","Guarda","Trancoso","Castanheira","40.16","-7.16388888888889","agriculture",2014-03-06,19:44:00,2014-03-06,"2014-03-06",0,0,1,0,2,0,40,49,36,7,21,50,0,13.8,20.4,10.8,32.4
8,"Trás-os-Montes","Vila Real","Vila Pouca de Aguiar","Telões","41.1508333333333","-7.16222222222222","fire",2014-03-07,12:00:00,2014-03-07,"2014-03-07",0.6,0.4,0,1,15,0,41,28,3,7,33,44,0,12,19.4,2.3,NA
9,"Trás-os-Montes","Viseu","Sernancelhe","Granjal","40.1541666666667","-7.16361111111111","firepit",2014-03-07,14:40:00,2014-03-07,"2014-03-07",0,1,0,1,0.02,0,40,53,15,7,31,49,0,15,21.5,5.5,NA
10,"Algarve","Faro","Castro Marim","Odeleite","37.1644444444444","-7.16638888888889","firepit",2014-03-07,17:15:00,2014-03-07,"2014-03-07",0,1,0,1,0.045,0,37,19,52,7,28,59,0,17.4,21.6,14.9,32.4
11,"Entre Douro e Minho","Viana do Castelo","Monção","Tangil","42.1636111111111","-8.15527777777778","fire",2014-03-07,22:49:00,2014-03-08,"2014-03-07",0.5,0.5,0,1,2,0,42,0,49,8,28,19,1,9.7,17.4,5.7,25.2
12,"Beira Interior","Castelo Branco","Covilhã","União das freguesias de Covilhã e Canhoso","40.1513888888889","-7.16388888888889","agriculture",2014-03-08,11:52:00,2014-03-08,"2014-03-08",0,0,1,0,0.0025,0,40,16,5,7,29,50,0,13.9,20.1,9.9,32.4
13,"Beira Interior","Castelo Branco","Penamacor","União das freguesias de Pedrógão de São Pedro e Bemposta","40.1602777777778","-7.15583333333333","agriculture",2014-03-08,13:15:00,2014-03-08,"2014-03-08",0,0,1,0,0.28,0,40,16,37,7,0,21,0,13.9,20.1,9.9,32.4
14,"Beira Litoral","Coimbra","Góis","União das freguesias de Cadafaz e Colmeal","40.1577777777778","-8.15277777777778","firepit",2014-03-08,14:29:00,2014-03-08,"2014-03-08",0.84,0.16,0,1,0.5,0,40,8,28,8,0,10,0,15,22.4,5.3,21.6
15,"Ribatejo e Oeste","Santarém","Rio Maior","Arrouquelas","39.1561111111111","-8.16083333333333","firepit",2014-03-08,14:36:00,2014-03-08,"2014-03-08",0,1,0,1,0.0916,0,39,15,22,8,53,39,0,14.5,22,NA,NA
16,"Beira Litoral","Aveiro","Castelo de Paiva","União das freguesias de Raiva, Pedorido e Paraíso","40.1508333333333","-8.1525","firepit",2014-03-08,14:41:00,2014-03-08,"2014-03-08",0,1,0,1,0.4273,0,40,59,3,8,19,9,0,15,22.4,5.3,21.6
17,"Beira Litoral","Coimbra","Oliveira do Hospital","Lourosa","40.1547222222222","-7.16055555555556","firepit",2014-03-08,14:50:00,2014-03-08,"2014-03-08",0,1,0,1,0.001,0,40,19,17,7,57,38,0,13.9,20.1,9.9,32.4
