"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","firstInterv_date","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause","temp","tempMax","windVelocity","windGust"
1,"Beira Litoral","Coimbra","Góis","Góis","40.1538888888889",-8.15611111111111,"agriculture",2014-01-11,23:30:00,2014-01-12,2014-01-11,0,0,1,0,0.02,0,9.5,15.4,3.6,33.9494645247657
2,"Beira Interior","Guarda","Sabugal","Bismula","40.1630555555556",-6.16527777777778,"agric_burn",2014-01-24,19:10:00,2014-01-24,2014-01-24,0,1,0,1,1,0,8.6,14.3,10.8,39.6
3,"Ribatejo e Oeste","Santarém","Almeirim","Benfica do Ribatejo","39.1544444444444",-8.15527777777778,"agriculture",2014-02-16,18:46:00,2014-02-16,2014-02-16,0,0,1,0,0.0742,0,7.8,12.8,15.3323232323232,39.4609442060086
4,"Trás-os-Montes","Bragança","Vila Flor","União das freguesias de Vila Flor e Nabo","41.1663888888889",-7.15583333333333,"firepit",2014-02-23,18:00:00,2014-02-23,2014-02-23,0,1,0,1,0.006,0,7.4,13.5,4.2,25.2
5,"Algarve","Faro","São Brás de Alportel","São Brás de Alportel","37.1552777777778",-7.15916666666667,"firepit",2014-03-02,12:48:00,2014-03-02,2014-03-02,0,1,0,1,0.03,0,15,18.2,30.9,54
6,"Ribatejo e Oeste","Santarém","Alpiarça","Alpiarça","39.1583333333333",-8.16027777777778,"firepit",2014-03-06,19:40:00,2014-03-06,2014-03-06,0,1,0,1,0.0192,0,11.4,17.4,15.3323232323232,39.4609442060086
7,"Beira Interior","Guarda","Trancoso","Castanheira","40.16",-7.16388888888889,"agriculture",2014-03-06,19:44:00,2014-03-06,2014-03-06,0,0,1,0,2,0,13.8,20.4,10.8,32.4
8,"Trás-os-Montes","Vila Real","Vila Pouca de Aguiar","Telões","41.1508333333333",-7.16222222222222,"fire",2014-03-07,12:00:00,2014-03-07,2014-03-07,0.6,0.4,0,1,15,0,12,19.4,2.3,30.0984441301273
9,"Trás-os-Montes","Viseu","Sernancelhe","Granjal","40.1541666666667",-7.16361111111111,"firepit",2014-03-07,14:40:00,2014-03-07,2014-03-07,0,1,0,1,0.02,0,15,21.5,5.5,30.0984441301273
10,"Algarve","Faro","Castro Marim","Odeleite","37.1644444444444",-7.16638888888889,"firepit",2014-03-07,17:15:00,2014-03-07,2014-03-07,0,1,0,1,0.045,0,17.4,21.6,14.9,32.4
11,"Entre Douro e Minho","Viana do Castelo","Monção","Tangil","42.1636111111111",-8.15527777777778,"fire",2014-03-07,22:49:00,2014-03-08,2014-03-07,0.5,0.5,0,1,2,0,9.7,17.4,5.7,25.2
12,"Beira Interior","Castelo Branco","Covilhã","União das freguesias de Covilhã e Canhoso","40.1513888888889",-7.16388888888889,"agriculture",2014-03-08,11:52:00,2014-03-08,2014-03-08,0,0,1,0,0.0025,0,13.9,20.1,9.9,32.4
13,"Beira Interior","Castelo Branco","Penamacor","União das freguesias de Pedrógão de São Pedro e Bemposta","40.1602777777778",-7.15583333333333,"agriculture",2014-03-08,13:15:00,2014-03-08,2014-03-08,0,0,1,0,0.28,0,13.9,20.1,9.9,32.4
14,"Beira Litoral","Coimbra","Góis","União das freguesias de Cadafaz e Colmeal","40.1577777777778",-8.15277777777778,"firepit",2014-03-08,14:29:00,2014-03-08,2014-03-08,0.84,0.16,0,1,0.5,0,15,22.4,5.3,21.6
15,"Ribatejo e Oeste","Santarém","Rio Maior","Arrouquelas","39.1561111111111",-8.16083333333333,"firepit",2014-03-08,14:36:00,2014-03-08,2014-03-08,0,1,0,1,0.0916,0,14.5,22,15.3323232323232,39.4609442060086
16,"Beira Litoral","Aveiro","Castelo de Paiva","União das freguesias de Raiva, Pedorido e Paraíso","40.1508333333333",-8.1525,"firepit",2014-03-08,14:41:00,2014-03-08,2014-03-08,0,1,0,1,0.4273,0,15,22.4,5.3,21.6
17,"Beira Litoral","Coimbra","Oliveira do Hospital","Lourosa","40.1547222222222",-7.16055555555556,"firepit",2014-03-08,14:50:00,2014-03-08,2014-03-08,0,1,0,1,0.001,0,13.9,20.1,9.9,32.4
18,"Beira Litoral","Coimbra","Tábua","União das freguesias de Espariz e Sinde","40.1661111111111",-7.15111111111111,"firepit",2014-03-08,15:13:00,2014-03-08,2014-03-08,0,1,0,1,0.001,0,13.9,20.1,9.9,32.4
19,"Ribatejo e Oeste","Santarém","Rio Maior","São Sebastião","39.1583333333333",-8.15666666666667,"firepit",2014-03-08,15:34:00,2014-03-08,2014-03-08,0,1,0,1,0.1673,0,14.5,22,15.3323232323232,39.4609442060086
20,"Beira Litoral","Viseu","Viseu","São João de Lourosa","40.1641666666667",-7.16083333333333,"firepit",2014-03-08,15:56:00,2014-03-08,2014-03-08,0,1,0,1,0.06,0,13.9,20.1,9.9,32.4
21,"Alentejo","Beja","Odemira","São Teotónio","37.1638888888889",-8.15277777777778,"firepit",2014-03-08,16:46:00,2014-03-08,2014-03-08,0,1,0,1,0.086,0,15.9,19.7,25.1,54
22,"Beira Interior","Guarda","Fornos de Algodres","Figueiró da Granja","40.1597222222222",-7.16472222222222,"agric_burn",2014-03-08,17:13:00,2014-03-08,2014-03-08,0,1,0,1,1.5,0,13.9,20.1,9.9,32.4
23,"Lisboa e Vale do Tejo","Lisboa","Torres Vedras","União das freguesias de Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães","39.1588888888889",-9.15694444444444,"fire",2014-03-08,17:35:00,2014-03-08,2014-03-08,1,0,0,1,3,0,18.8326530612245,24.7244897959184,8.4,38.5
24,"Ribatejo e Oeste","Santarém","Torres Novas","União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel","39.1505555555556",-8.15194444444444,"agriculture",2014-03-08,19:13:00,2014-03-08,2014-03-08,0,0,1,0,1e-04,0,14.5,22,15.3323232323232,39.4609442060086
25,"Entre Douro e Minho","Porto","Amarante","União das freguesias de Aboadela, Sanche e Várzea","41.1611111111111",-7.15361111111111,"fire",2014-03-08,20:15:00,2014-03-09,2014-03-08,0,1,0,1,59.3,0,14.1,21.9,1.8,31.1170682730924
26,"Trás-os-Montes","Vila Real","Montalegre","Chã","41.1586111111111",-7.15555555555556,"fire",2014-03-08,20:53:00,2014-03-08,2014-03-08,0,1,0,1,1,0,14.1,21.9,1.8,30.0984441301273
27,"Entre Douro e Minho","Viana do Castelo","Valença","União das freguesias de Gandra e Taião","42.1569444444444",-8.15027777777778,"firepit",2014-03-08,21:14:00,2014-03-08,2014-03-08,0,1,0,1,0.002,0,11.4,18.2,5.4,21.6
28,"Beira Interior","Guarda","Sabugal","Soito","40.1555555555556",-6.16111111111111,"fire",2014-03-08,21:26:00,2014-03-09,2014-03-08,0.0163934426229508,0.983606557377049,0,1,61,0,13.9,20.1,9.9,32.4
29,"Beira Litoral","Coimbra","Penela","União das freguesias de São Miguel, Santa Eufémia e Rabaçal","40.1591666666667",-8.15277777777778,"agriculture",2014-03-08,21:55:00,2014-03-08,2014-03-08,0,0,1,0,0.001,0,15,22.4,5.3,21.6
30,"Beira Litoral","Coimbra","Penela","União das freguesias de São Miguel, Santa Eufémia e Rabaçal","40.1586111111111",-8.16361111111111,"agriculture",2014-03-09,00:35:00,2014-03-09,2014-03-09,0,0,1,0,0.02,0,18.3,23.2,8.1,32.4
31,"Beira Litoral","Coimbra","Arganil","União das freguesias de Cerdeira e Moura da Serra","40.1561111111111",-7.15861111111111,"firepit",2014-03-09,02:38:00,2014-03-09,2014-03-09,0,1,0,1,0.03,0,14,20.3,11.4,36
32,"Entre Douro e Minho","Viana do Castelo","Caminha","Dem","41.1583333333333",-8.16,"firepit",2014-03-09,11:57:00,2014-03-09,2014-03-09,0,1,0,1,0.003,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
33,"Trás-os-Montes","Vila Real","Mondim de Basto","União das freguesias de Campanhó e Paradança","41.1558333333333",-7.16555555555556,"fire",2014-03-09,12:09:00,2014-03-09,2014-03-09,0,1,0,1,8,0,13.9,21.2,4.1,25.2
